value,value_classification,time_until_update,date
52,Neutral,,2023-07-22
50,Neutral,,2023-07-21
56,Greed,,2023-07-20
50,Neutral,,2023-07-19
56,Greed,,2023-07-18
54,Neutral,,2023-07-17
57,Greed,,2023-07-16
56,Greed,,2023-07-15
60,Greed,,2023-07-14
57,Greed,,2023-07-13
64,Greed,,2023-07-12
57,Greed,,2023-07-11
56,Greed,,2023-07-10
55,Greed,,2023-07-09
58,Greed,,2023-07-08
55,Greed,,2023-07-07
56,Greed,,2023-07-06
61,Greed,,2023-07-05
64,Greed,,2023-07-04
62,Greed,,2023-07-03
63,Greed,,2023-07-02
59,Greed,,2023-07-01
56,Greed,,2023-06-30
54,Neutral,,2023-06-29
62,Greed,,2023-06-28
59,Greed,,2023-06-27
55,Greed,,2023-06-26
64,Greed,,2023-06-25
62,Greed,,2023-06-24
65,Greed,,2023-06-23
65,Greed,,2023-06-22
59,Greed,,2023-06-21
49,Neutral,,2023-06-20
47,Neutral,,2023-06-19
49,Neutral,,2023-06-18
47,Neutral,,2023-06-17
47,Neutral,,2023-06-16
41,Fear,,2023-06-15
46,Fear,,2023-06-14
45,Fear,,2023-06-13
47,Neutral,,2023-06-12
47,Neutral,,2023-06-11
49,Neutral,,2023-06-10
50,Neutral,,2023-06-09
50,Neutral,,2023-06-08
53,Neutral,,2023-06-07
44,Fear,,2023-06-06
53,Neutral,,2023-06-05
52,Neutral,,2023-06-04
53,Neutral,,2023-06-03
50,Neutral,,2023-06-02
52,Neutral,,2023-06-01
51,Neutral,,2023-05-31
51,Neutral,,2023-05-30
52,Neutral,,2023-05-29
50,Neutral,,2023-05-28
48,Neutral,,2023-05-27
49,Neutral,,2023-05-26
51,Neutral,,2023-05-25
50,Neutral,,2023-05-24
50,Neutral,,2023-05-23
49,Neutral,,2023-05-22
52,Neutral,,2023-05-21
48,Neutral,,2023-05-20
48,Neutral,,2023-05-19
51,Neutral,,2023-05-18
50,Neutral,,2023-05-17
54,Neutral,,2023-05-16
50,Neutral,,2023-05-15
48,Neutral,,2023-05-14
48,Neutral,,2023-05-13
49,Neutral,,2023-05-12
52,Neutral,,2023-05-11
52,Neutral,,2023-05-10
51,Neutral,,2023-05-09
60,Greed,,2023-05-08
64,Greed,,2023-05-07
60,Greed,,2023-05-06
61,Greed,,2023-05-05
64,Greed,,2023-05-04
64,Greed,,2023-05-03
55,Greed,,2023-05-02
63,Greed,,2023-05-01
60,Greed,,2023-04-30
64,Greed,,2023-04-29
64,Greed,,2023-04-28
59,Greed,,2023-04-27
56,Greed,,2023-04-26
53,Neutral,,2023-04-25
53,Neutral,,2023-04-24
56,Greed,,2023-04-23
53,Neutral,,2023-04-22
50,Neutral,,2023-04-21
52,Neutral,,2023-04-20
63,Greed,,2023-04-19
58,Greed,,2023-04-18
69,Greed,,2023-04-17
68,Greed,,2023-04-16
68,Greed,,2023-04-15
68,Greed,,2023-04-14
61,Greed,,2023-04-13
65,Greed,,2023-04-12
68,Greed,,2023-04-11
62,Greed,,2023-04-10
61,Greed,,2023-04-09
61,Greed,,2023-04-08
64,Greed,,2023-04-07
63,Greed,,2023-04-06
62,Greed,,2023-04-05
62,Greed,,2023-04-04
63,Greed,,2023-04-03
63,Greed,,2023-04-02
61,Greed,,2023-04-01
63,Greed,,2023-03-31
60,Greed,,2023-03-30
57,Greed,,2023-03-29
59,Greed,,2023-03-28
64,Greed,,2023-03-27
64,Greed,,2023-03-26
64,Greed,,2023-03-25
61,Greed,,2023-03-24
57,Greed,,2023-03-23
62,Greed,,2023-03-22
68,Greed,,2023-03-21
66,Greed,,2023-03-20
63,Greed,,2023-03-19
64,Greed,,2023-03-18
51,Neutral,,2023-03-17
52,Neutral,,2023-03-16
50,Neutral,,2023-03-15
56,Greed,,2023-03-14
49,Neutral,,2023-03-13
33,Fear,,2023-03-12
33,Fear,,2023-03-11
34,Fear,,2023-03-10
44,Fear,,2023-03-09
50,Neutral,,2023-03-08
49,Neutral,,2023-03-07
48,Neutral,,2023-03-06
47,Neutral,,2023-03-05
50,Neutral,,2023-03-04
50,Neutral,,2023-03-03
51,Neutral,,2023-03-02
50,Neutral,,2023-03-01
53,Neutral,,2023-02-28
50,Neutral,,2023-02-27
51,Neutral,,2023-02-26
52,Neutral,,2023-02-25
53,Neutral,,2023-02-24
56,Greed,,2023-02-23
59,Greed,,2023-02-22
60,Greed,,2023-02-21
58,Greed,,2023-02-20
60,Greed,,2023-02-19
60,Greed,,2023-02-18
61,Greed,,2023-02-17
62,Greed,,2023-02-16
53,Neutral,,2023-02-15
50,Neutral,,2023-02-14
48,Neutral,,2023-02-13
50,Neutral,,2023-02-12
49,Neutral,,2023-02-11
48,Neutral,,2023-02-10
55,Greed,,2023-02-09
58,Greed,,2023-02-08
54,Neutral,,2023-02-07
56,Greed,,2023-02-06
58,Greed,,2023-02-05
58,Greed,,2023-02-04
60,Greed,,2023-02-03
60,Greed,,2023-02-02
56,Greed,,2023-02-01
51,Neutral,,2023-01-31
61,Greed,,2023-01-30
55,Greed,,2023-01-29
52,Neutral,,2023-01-28
55,Greed,,2023-01-27
54,Neutral,,2023-01-26
51,Neutral,,2023-01-25
52,Neutral,,2023-01-24
50,Neutral,,2023-01-23
53,Neutral,,2023-01-22
53,Neutral,,2023-01-21
51,Neutral,,2023-01-20
45,Fear,,2023-01-19
52,Neutral,,2023-01-18
51,Neutral,,2023-01-17
45,Fear,,2023-01-16
52,Neutral,,2023-01-15
46,Fear,,2023-01-14
31,Fear,,2023-01-13
30,Fear,,2023-01-12
26,Fear,,2023-01-11
26,Fear,,2023-01-10
25,Extreme Fear,,2023-01-09
25,Extreme Fear,,2023-01-08
25,Extreme Fear,,2023-01-07
26,Fear,,2023-01-06
29,Fear,,2023-01-05
29,Fear,,2023-01-04
26,Fear,,2023-01-03
27,Fear,,2023-01-02
26,Fear,,2023-01-01
25,Extreme Fear,,2022-12-31
28,Fear,,2022-12-30
28,Fear,,2022-12-29
28,Fear,,2022-12-28
27,Fear,,2022-12-27
28,Fear,,2022-12-26
29,Fear,,2022-12-25
29,Fear,,2022-12-24
27,Fear,,2022-12-23
28,Fear,,2022-12-22
26,Fear,,2022-12-21
29,Fear,,2022-12-20
29,Fear,,2022-12-19
26,Fear,,2022-12-18
28,Fear,,2022-12-17
29,Fear,,2022-12-16
31,Fear,,2022-12-15
30,Fear,,2022-12-14
27,Fear,,2022-12-13
27,Fear,,2022-12-12
26,Fear,,2022-12-11
27,Fear,,2022-12-10
26,Fear,,2022-12-09
25,Extreme Fear,,2022-12-08
29,Fear,,2022-12-07
25,Extreme Fear,,2022-12-06
26,Fear,,2022-12-05
26,Fear,,2022-12-04
27,Fear,,2022-12-03
27,Fear,,2022-12-02
27,Fear,,2022-12-01
29,Fear,,2022-11-30
26,Fear,,2022-11-29
28,Fear,,2022-11-28
26,Fear,,2022-11-27
22,Extreme Fear,,2022-11-26
20,Extreme Fear,,2022-11-25
20,Extreme Fear,,2022-11-24
22,Extreme Fear,,2022-11-23
22,Extreme Fear,,2022-11-22
21,Extreme Fear,,2022-11-21
24,Extreme Fear,,2022-11-20
23,Extreme Fear,,2022-11-19
23,Extreme Fear,,2022-11-18
20,Extreme Fear,,2022-11-17
23,Extreme Fear,,2022-11-16
22,Extreme Fear,,2022-11-15
24,Extreme Fear,,2022-11-14
22,Extreme Fear,,2022-11-13
21,Extreme Fear,,2022-11-12
25,Extreme Fear,,2022-11-11
22,Extreme Fear,,2022-11-10
29,Fear,,2022-11-09
31,Fear,,2022-11-08
33,Fear,,2022-11-07
40,Fear,,2022-11-06
38,Fear,,2022-11-05
30,Fear,,2022-11-04
30,Fear,,2022-11-03
30,Fear,,2022-11-02
30,Fear,,2022-11-01
31,Fear,,2022-10-31
34,Fear,,2022-10-30
34,Fear,,2022-10-29
30,Fear,,2022-10-28
32,Fear,,2022-10-27
33,Fear,,2022-10-26
20,Extreme Fear,,2022-10-25
22,Extreme Fear,,2022-10-24
23,Extreme Fear,,2022-10-23
20,Extreme Fear,,2022-10-22
23,Extreme Fear,,2022-10-21
23,Extreme Fear,,2022-10-20
23,Extreme Fear,,2022-10-19
22,Extreme Fear,,2022-10-18
20,Extreme Fear,,2022-10-17
24,Extreme Fear,,2022-10-16
24,Extreme Fear,,2022-10-15
24,Extreme Fear,,2022-10-14
20,Extreme Fear,,2022-10-13
20,Extreme Fear,,2022-10-12
24,Extreme Fear,,2022-10-11
22,Extreme Fear,,2022-10-10
22,Extreme Fear,,2022-10-09
24,Extreme Fear,,2022-10-08
23,Extreme Fear,,2022-10-07
26,Fear,,2022-10-06
25,Extreme Fear,,2022-10-05
20,Extreme Fear,,2022-10-04
24,Extreme Fear,,2022-10-03
24,Extreme Fear,,2022-10-02
20,Extreme Fear,,2022-10-01
21,Extreme Fear,,2022-09-30
22,Extreme Fear,,2022-09-29
20,Extreme Fear,,2022-09-28
20,Extreme Fear,,2022-09-27
21,Extreme Fear,,2022-09-26
24,Extreme Fear,,2022-09-25
24,Extreme Fear,,2022-09-24
20,Extreme Fear,,2022-09-23
22,Extreme Fear,,2022-09-22
23,Extreme Fear,,2022-09-21
23,Extreme Fear,,2022-09-20
21,Extreme Fear,,2022-09-19
27,Fear,,2022-09-18
22,Extreme Fear,,2022-09-17
20,Extreme Fear,,2022-09-16
28,Fear,,2022-09-15
27,Fear,,2022-09-14
34,Fear,,2022-09-13
25,Extreme Fear,,2022-09-12
26,Fear,,2022-09-11
28,Fear,,2022-09-10
22,Extreme Fear,,2022-09-09
20,Extreme Fear,,2022-09-08
24,Extreme Fear,,2022-09-07
22,Extreme Fear,,2022-09-06
23,Extreme Fear,,2022-09-05
20,Extreme Fear,,2022-09-04
21,Extreme Fear,,2022-09-03
25,Extreme Fear,,2022-09-02
20,Extreme Fear,,2022-09-01
23,Extreme Fear,,2022-08-31
27,Fear,,2022-08-30
24,Extreme Fear,,2022-08-29
28,Fear,,2022-08-28
28,Fear,,2022-08-27
27,Fear,,2022-08-26
25,Extreme Fear,,2022-08-25
25,Extreme Fear,,2022-08-24
28,Fear,,2022-08-23
29,Fear,,2022-08-22
27,Fear,,2022-08-21
29,Fear,,2022-08-20
33,Fear,,2022-08-19
30,Fear,,2022-08-18
41,Fear,,2022-08-17
44,Fear,,2022-08-16
45,Fear,,2022-08-15
47,Neutral,,2022-08-14
46,Fear,,2022-08-13
42,Fear,,2022-08-12
41,Fear,,2022-08-11
31,Fear,,2022-08-10
42,Fear,,2022-08-09
30,Fear,,2022-08-08
30,Fear,,2022-08-07
31,Fear,,2022-08-06
31,Fear,,2022-08-05
30,Fear,,2022-08-04
34,Fear,,2022-08-03
31,Fear,,2022-08-02
33,Fear,,2022-08-01
39,Fear,,2022-07-31
42,Fear,,2022-07-30
39,Fear,,2022-07-29
32,Fear,,2022-07-28
28,Fear,,2022-07-27
26,Fear,,2022-07-26
30,Fear,,2022-07-25
30,Fear,,2022-07-24
31,Fear,,2022-07-23
33,Fear,,2022-07-22
34,Fear,,2022-07-21
31,Fear,,2022-07-20
30,Fear,,2022-07-19
20,Extreme Fear,,2022-07-18
24,Extreme Fear,,2022-07-17
21,Extreme Fear,,2022-07-16
15,Extreme Fear,,2022-07-15
18,Extreme Fear,,2022-07-14
15,Extreme Fear,,2022-07-13
16,Extreme Fear,,2022-07-12
22,Extreme Fear,,2022-07-11
24,Extreme Fear,,2022-07-10
24,Extreme Fear,,2022-07-09
20,Extreme Fear,,2022-07-08
18,Extreme Fear,,2022-07-07
18,Extreme Fear,,2022-07-06
19,Extreme Fear,,2022-07-05
14,Extreme Fear,,2022-07-04
11,Extreme Fear,,2022-07-03
14,Extreme Fear,,2022-07-02
11,Extreme Fear,,2022-07-01
11,Extreme Fear,,2022-06-30
13,Extreme Fear,,2022-06-29
10,Extreme Fear,,2022-06-28
12,Extreme Fear,,2022-06-27
14,Extreme Fear,,2022-06-26
14,Extreme Fear,,2022-06-25
11,Extreme Fear,,2022-06-24
11,Extreme Fear,,2022-06-23
11,Extreme Fear,,2022-06-22
9,Extreme Fear,,2022-06-21
9,Extreme Fear,,2022-06-20
6,Extreme Fear,,2022-06-19
6,Extreme Fear,,2022-06-18
9,Extreme Fear,,2022-06-17
7,Extreme Fear,,2022-06-16
7,Extreme Fear,,2022-06-15
8,Extreme Fear,,2022-06-14
11,Extreme Fear,,2022-06-13
14,Extreme Fear,,2022-06-12
12,Extreme Fear,,2022-06-11
13,Extreme Fear,,2022-06-10
11,Extreme Fear,,2022-06-09
17,Extreme Fear,,2022-06-08
15,Extreme Fear,,2022-06-07
13,Extreme Fear,,2022-06-06
10,Extreme Fear,,2022-06-05
14,Extreme Fear,,2022-06-04
10,Extreme Fear,,2022-06-03
13,Extreme Fear,,2022-06-02
17,Extreme Fear,,2022-06-01
16,Extreme Fear,,2022-05-31
10,Extreme Fear,,2022-05-30
14,Extreme Fear,,2022-05-29
13,Extreme Fear,,2022-05-28
12,Extreme Fear,,2022-05-27
12,Extreme Fear,,2022-05-26
11,Extreme Fear,,2022-05-25
12,Extreme Fear,,2022-05-24
10,Extreme Fear,,2022-05-23
14,Extreme Fear,,2022-05-22
13,Extreme Fear,,2022-05-21
13,Extreme Fear,,2022-05-20
13,Extreme Fear,,2022-05-19
12,Extreme Fear,,2022-05-18
8,Extreme Fear,,2022-05-17
14,Extreme Fear,,2022-05-16
10,Extreme Fear,,2022-05-15
9,Extreme Fear,,2022-05-14
10,Extreme Fear,,2022-05-13
12,Extreme Fear,,2022-05-12
12,Extreme Fear,,2022-05-11
10,Extreme Fear,,2022-05-10
11,Extreme Fear,,2022-05-09
18,Extreme Fear,,2022-05-08
23,Extreme Fear,,2022-05-07
22,Extreme Fear,,2022-05-06
27,Fear,,2022-05-05
21,Extreme Fear,,2022-05-04
27,Fear,,2022-05-03
28,Fear,,2022-05-02
22,Extreme Fear,,2022-05-01
20,Extreme Fear,,2022-04-30
23,Extreme Fear,,2022-04-29
24,Extreme Fear,,2022-04-28
21,Extreme Fear,,2022-04-27
27,Fear,,2022-04-26
23,Extreme Fear,,2022-04-25
24,Extreme Fear,,2022-04-24
24,Extreme Fear,,2022-04-23
26,Fear,,2022-04-22
27,Fear,,2022-04-21
27,Fear,,2022-04-20
27,Fear,,2022-04-19
24,Extreme Fear,,2022-04-18
28,Fear,,2022-04-17
28,Fear,,2022-04-16
22,Extreme Fear,,2022-04-15
28,Fear,,2022-04-14
25,Extreme Fear,,2022-04-13
20,Extreme Fear,,2022-04-12
32,Fear,,2022-04-11
34,Fear,,2022-04-10
30,Fear,,2022-04-09
37,Fear,,2022-04-08
34,Fear,,2022-04-07
48,Neutral,,2022-04-06
53,Neutral,,2022-04-05
52,Neutral,,2022-04-04
48,Neutral,,2022-04-03
52,Neutral,,2022-04-02
50,Neutral,,2022-04-01
52,Neutral,,2022-03-31
55,Greed,,2022-03-30
56,Greed,,2022-03-29
60,Greed,,2022-03-28
49,Neutral,,2022-03-27
51,Neutral,,2022-03-26
47,Neutral,,2022-03-25
40,Fear,,2022-03-24
31,Fear,,2022-03-23
26,Fear,,2022-03-22
30,Fear,,2022-03-21
31,Fear,,2022-03-20
28,Fear,,2022-03-19
25,Extreme Fear,,2022-03-18
27,Fear,,2022-03-17
24,Extreme Fear,,2022-03-16
21,Extreme Fear,,2022-03-15
23,Extreme Fear,,2022-03-14
21,Extreme Fear,,2022-03-13
22,Extreme Fear,,2022-03-12
22,Extreme Fear,,2022-03-11
28,Fear,,2022-03-10
22,Extreme Fear,,2022-03-09
21,Extreme Fear,,2022-03-08
23,Extreme Fear,,2022-03-07
22,Extreme Fear,,2022-03-06
22,Extreme Fear,,2022-03-05
33,Fear,,2022-03-04
39,Fear,,2022-03-03
52,Neutral,,2022-03-02
51,Neutral,,2022-03-01
20,Extreme Fear,,2022-02-28
26,Fear,,2022-02-27
26,Fear,,2022-02-26
27,Fear,,2022-02-25
23,Extreme Fear,,2022-02-24
25,Extreme Fear,,2022-02-23
20,Extreme Fear,,2022-02-22
25,Extreme Fear,,2022-02-21
27,Fear,,2022-02-20
25,Extreme Fear,,2022-02-19
30,Fear,,2022-02-18
52,Neutral,,2022-02-17
51,Neutral,,2022-02-16
46,Fear,,2022-02-15
46,Fear,,2022-02-14
44,Fear,,2022-02-13
44,Fear,,2022-02-12
50,Neutral,,2022-02-11
50,Neutral,,2022-02-10
54,Neutral,,2022-02-09
48,Neutral,,2022-02-08
45,Fear,,2022-02-07
37,Fear,,2022-02-06
33,Fear,,2022-02-05
20,Extreme Fear,,2022-02-04
20,Extreme Fear,,2022-02-03
28,Fear,,2022-02-02
26,Fear,,2022-02-01
20,Extreme Fear,,2022-01-31
29,Fear,,2022-01-30
